""
No. and name of constituency      NA-77-NWL-I,,,,,,,,,,,,
Sr. No,"No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters ontheelectoral",Number of voters assigned to,Number of polling booths.,,,,,,
"",,"Name ofElectoralArea","Censusblockcode",Name of Electoral Area,"Censusblockcode",Male.,Female.,Total.,Male.,Female.,Total.,
1,2,3,4,5,6,7,8,9,10,11,12,13
"",,,,,,,,,,,,
"",,,,,,,,,,,,
"",,Mirak Pur,183040904,,,,343,237,580,,,
"",,Total:-,,,,,728,474,1202,2,1,3
164,"164-Govt. Boys  H/S Bobak. (Combined)(P)",Bobak.,183040502,,,,351,286,637,,,
"",,Bobak.,183040503,,,,281,220,501,,,
"",,"BassoViran",183040504,,,,0,0,0,,,
"",,Total:-,,,,,632,506,1138,1,1,2
165,"165-Govt. Girls H/S Bobak. (Combined)(P)",Bobak.,183040501,,,,589,468,1057,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,589,468,1057,1,1,2
166,"166-Govt. Girls P/S Datta-Ghoraya.(Combined) (P)","Akhal -Ghar.",183040505,,,,289,203,492,,,
"",,"Datta-Ghoraya",183040506,,,,632,431,1063,,,
"",,Total:-,,,,,921,634,1555,2,1,3
167,167-Govt.Boys P/S Marali (Combined) P,Marali,183040507,,,,572,429,1001,,,
"",,Marali,183040508,,,,344,251,595,,,
"",,Total:-,,,,,916,680,1596,2,2,4
168,"168-Govt. Girls P/S Raya-Ghoraya.(Combined) (P)","Raya-Ghoraya",183040601,,,,536,408,944,,,
"",,"Raya-Ghoraya",183040602,,,,403,305,708,,,
"",,Total:-,,,,,939,713,1652,2,2,4
169,"169-Govt. Boys PS Munday-Kay.(Combined) (P)",Natt.,183040603,,,,234,176,410,,,
"",,"Bhatti-Ghoraya",183040604,,,,453,308,761,,,
"",,"Munday -Kay",183040605,,,,431,303,734,,,
"",,Total:-,,,,,1118,787,1905,2,2,4
170,"170-Govt. Girls P/S Chandokey.(Combined) (P)","Chandokey",183040701,,,,367,234,601,,,
"",,Klair,183040704,,,,2,3,5,,,
"",,"HabibChak",183040705,,,,97,74,171,,,
"",,Jarowali,183040706,,,,221,163,384,,,
"",,Total:-,,,,,687,474,1161,1,1,2
171,"171-Govt. Girls Primary School Chahal.(Combined) (P)",Rajadha,183040702,,,,383,281,664,,,
"",,Total:-,,,,,647,465,1112,1,1,2
172,"172-Govt. Girls Primary School Chahal.(Combined) (P)",Butter.,183040707,,,,276,224,500,,,
"",,Chahal,183040708,,,,303,231,534,,,
"",,Total:-,,,,,579,455,1034,1,1,2
173,"173-Govt. Boys Elementry SchoolKotali-Muhammad-Saddique.(Combined) (P)",Mote,183040801,,,,306,222,528,,,
"",,"BhaidaKhani",183040802,,,,215,155,370,,,
"",,"Kotali-Muhammad-Saddique.",183040804,,,,641,466,1107,,,
"",,Total:-,,,,,1162,843,2005,2,2,4
174,"174-Govt.Girls  P/S Muslamanian.(Combined) (P)","Mahmuwali",183040803,,,,255,188,443,,,
"",,"Muslamania",183040805,,,,621,454,1075,,,
"",,Total:-,,,,,876,642,1518,2,1,3
175,"175-Govt. Girls P/S Ahlolal. (Combined)(P)",Neveen.,183041003,,,,401,300,701,,,
"",,Ahlolal,183041005,,,,358,255,613,,,
"",,Total:-,,,,,759,555,1314,2,1,3
176,"176-Govt. Boys P/S Ahlolal. (Combined)(P)",Ahlolal,183041004,,,,639,501,1140,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,639,501,1140,1,1,2
177,"177-Govt.E/S Junda-Panwah.(Combined) (P)","Junda-Pannuwan.",183041002,,,,513,374,887,,,
"",,"Rasool-Aunche",183041001,,,,260,167,427,,,
"",,Total:-,,,,,773,541,1314,2,1,3
178,"178-Govt.Girls P/S LodhiKhangora.(Combined) (P)","LodhiKhangora",183041101,,,,280,212,492,,,
"",,Ballowali,183041103,,,,285,226,511,,,
"",,"MianKhangora",183041301,,,,291,263,554,,,
"",,Total:-,,,,,856,701,1557,2,2,4
179,"179-Govt.Girls CMS Fleezpur.(Combined)","Gandowali",183041102,,,,292,231,523,,Sensitive,
"",,"NarangWali",183040902,,,,160,99,259,,,
"",,"SairFateh.",183041105,,,,157,127,284,,,
"",,Total:-,,,,,609,457,1066,1,1,2
"",,,,,,,,,,,,
180,"180-Govt.Girls CMS Fleezpur.(Combined)",Fleezpur,183041104,,,,756,591,1347,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,756,591,1347,2,1,3
181,181-Govt. PS Kasso Wali(Combined),"KassoWali",183041201,,,,222,185,407,,,
"",,"KassoWali",183041202,,,,158,111,269,,,
"",,"SattoBajwah.",183041205,,,,51,34,85,,,
"",,Total:-,,,,,431,330,761,1,1,2
182,"182-Govt.Girls High School ChakShahab-De-Kay. (Combined) (P)","ShahabDekay",183041203,,,,655,510,1165,,,
"",,Gajo Kay,183041204,,,,455,337,792,,,
"",,"ChakShabDekay",183041206,,,,1,0,1,,,
"",,Total:-,,,,,1111,847,1958,2,2,4
183,"183-Govt. Boys H/S Domala.(Combined) (P)",Domala.,183041207,,,,272,183,455,,,
"",,Domala.,183041209,,,,406,322,728,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,678,505,1183,2,1,3
"",,,,,,,,,,,,
184,"184-Govt. Boys H/S Domala.(Combined) (P)",Domala.,183041208,,,,605,527,1132,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,605,527,1132,1,1,2
185,"185-Govt. Boys H/S Alipur Syedan(High Portion)(Combined) (P)","AlipurSyedan",183041303,,,,374,269,643,,,
"",,"MohalSaeedpur.BC",183041304,,,,0,0,0,,,
"",,"FatehpurSyedan",183041305,,,,124,92,216,,,
"",,"Khairullah pur",183041306,,,,143,114,257,,,
"",,Total:-,,,,,641,475,1116,2,1,3
186,"186-Govt. Boys H/S Alipur Syedan(Praumri Portion)(Combined) (P)","AlipurSyedan",183041302,,,,645,552,1197,,,
"",,Total:-,,,,,645,552,1197,2,1,3
"",,Cheeda,183041402,,,,313,,313,,,
"",,Total:-,,,,,1093,,1093,2,0,2
188,"188-Govt. Boys Elementary  SchoolCheda. (Female) (P)",Cheeda,183041401,,,,,686,686,,Sensitive,
"",,Cheeda,183041402,,,,,222,222,,,
"",,Total:-,,,,,,908,908,0,2,2
189,"189-Govt. Girls  Primary SchoolCheema. (Combined) (P)","BudhaDharag",183041403,,,,368,252,620,,,
"",,Jakhar,183041405,,,,211,141,352,,,
"",,Total:-,,,,,579,393,972,1,1,2
190,"190-Govt. Girls Primary SchoolCheema. (Combined) (P)",Cheema,183041406,,,,443,315,758,,,
"",,"KotliSangay",183040202,,,,281,173,454,,,
"",,Total:-,,,,,724,488,1212,2,1,3
191,"191-Govt.Girls Primary School Khewa.(Combined) (P)","KotArriyan",183041404,,,,253,194,447,,,
"",,Khewa.,183040203,,,,427,297,724,,,
"",,Total:-,,,,,680,491,1171,1,1,2
192,"192-Govt.Girls P/S ,Lala. (Combined)(P)",Lala.,183041407,,,,381,288,669,,,
"",,Lala.,183041408,,,,640,485,1125,,,
"",,Total:-,,,,,1021,773,1794,2,2,4
193,"193-Govt. Girls P/S Raoke (Combined)(P)","KotlyChamrang",183050101,,,,131,106,237,,,
"",,Raoke,183050103,,,,653,522,1175,,,
"",,Daddorha,183050105,,,,227,154,381,,,
"",,,Total,,,,1011,782,1793,2,2,4
194,"194-Govt. Girls E/S Rattian (Combined)(P)",Rattian,183050102,,,,424,354,778,,,
"",,Mallokey,183050104,,,,252,208,460,,,
"",,"ChakRattian",183050106,,,,227,154,381,,,
"",,,Total,,,,903,716,1619,2,1,3
195,"195-Govt. Girls E/S Dharag Miana(Combined) (P)","DharagMiana",183050201,,,,538,420,958,,,
"",,"DharagMiana",183050202,,,,159,93,252,,,
"",,"Bahadurpura",183050204,,,,90,61,151,,,
"",,,Total,,,,787,574,1361,2,1,3
196,"196-Govt. Girls P/S Dhey  (Combined)(P)",Dhey,183050203,,,,577,480,1057,,,
"",,Kalkhana,183050205,,,,560,477,1037,,,
"",,,Total,,,,1137,957,2094,2,2,4
197,197-Govt. H/S Niddokey (Combined) (P),Niddokey,183050301,,,,508,361,869,,,
"",,"Mehmand",183050302,,,,138,101,239,,,
"",,Lehlian,183050303,,,,587,452,1039,,,
"",,"ChakNiddokey.B.C",183050306,,,,0,0,0,,,
"",,,Total,,,,1233,914,2147,2,2,4
198,"198-Govt. Boys P/S Thaitharwali(Combined) (P)","Thaitharwali",183050304,,,,736,431,1167,,,
"",,"ChakThaitharwali.B.C",183050307,,,,0,0,0,,,
"",,,Total,,,,736,431,1167,2,1,3
199,"199-Govt. Girls P/S Megha Khara(Combined) (P)","MeghaKhara",183050305,,,,682,533,1215,,,
"",,,,,,,,,,,,
"",,,Total,,,,682,533,1215,2,1,3
200,"200-Govt. Girls P/S Khakh (Combined)(P)",Khakh,183050401,,,,327,250,577,,,
"",,Vanjal,183050403,,,,140,85,225,,,
"",,"Rashidpura",183050405,,,,243,217,460,,,
"",,,Total,,,,710,552,1262,2,1,3
201,"201-Govt. Girls H/S Gangor (Combined)(P)",Gangor,183050402,,,,603,472,1075,,,
"",,Rampur,183050404,,,,246,171,417,,,
"",,,Total,,,,849,643,1492,2,1,3
202,"202-Govt. Girls P/S Bhatti Wali(Combined) (P)","RasoolpurBhindran",183050501,,,,222,111,333,,,
"",,"KangBelawala",183050503,,,,313,181,494,,,
"",,Kotli   BC,183050504,,,,0,0,0,,,
"",,Rahola,183050505,,,,340,203,543,,,
"",,"Dolowana B.C",183050507,,,,0,0,0,,,
"",,"Bhattiwali",183050508,,,,185,100,285,,,
"",,,Total,,,,1060,595,1655,2,1,3
203,"203-Govt. E/S Malook pur (Combined)(P)",Othian,183050502,,,,296,166,462,,,
"",,,Total,,,,832,521,1353,2,1,3
204,"204-Govt. Girls H/S Datewal(Combined) (P)","ChakDatewalB.C",183050601,,,,0,0,0,,,
"",,"AodhoWali",183050602,,,,72,40,112,,,
"",,Bath,183050603,,,,174,133,307,,,
"",,Jhadha,183050604,,,,199,137,336,,,
"",,"Mohanwali",183050605,,,,179,127,306,,,
"",,,Total,,,,624,437,1061,1,1,2
205,"205-Govt. Girls H/S Datewal(Combined) (P)",Datewal,183050606,,,,679,491,1170,,,
"",,,Total,,,,679,491,1170,1,1,2
206,"206-Govt. Boys P/S Walley Key(Combined) (P)","WalleyKey",183050701,,,,863,602,1465,,,
"",,"HarriChandPura",183050702,,,,93,71,164,,,
"",,,Total,,,,956,673,1629,2,1,3
207,"207-Govt. Girls P/S Rangepur(Combined) (P)",Loban,183050703,,,,238,175,413,,,
"",,Lale pur,183050704,,,,87,39,126,,,
"",,"Rangepur",183050707,,,,259,171,430,,,
"",,Mohajan,183050708,,,,353,211,564,,,
"",,,Total,,,,937,596,1533,2,1,3
208,"208-Govt. Girls E/S Ainno Bajwa(Combined) (P)","EinnoBajwa",183050705,,,,729,513,1242,,,
"",,"LuddarhKaramSing",183050706,,,,194,150,344,,,
"",,,Total,,,,923,663,1586,2,2,4
209,"209-Govt. Girls E/S Mianwali.(Combined) (P)",Mianwali,183050801,,,,470,309,779,,,
"",,Mianwali,183050802,,,,287,205,492,,,
"",,"BogalNajar",183051001,,,,130,75,205,,,
"",,,Total,,,,887,589,1476,2,1,3
210,210-Govt. E/S Dhilli(Male)  (P),"DhilliNo.1",183050803,,,,420,,420,,,
"",,"DhilliNo.2",183050804,,,,193,,193,,,
"",,"DhilliNo.3",183050805,,,,872,,872,,,
211,211-Govt. Girls E/S Dhilli (Female)  (P),"DhilliNo.1",183050803,,,,,325,325,,,
"",,"DhilliNo.2",183050804,,,,,134,134,,,
"",,"DhilliNo.3",183050805,,,,,619,619,,,
"",,,Total,,,,,1078,1078,,2,2
212,"212-Govt. Girls E/S Bhodhi Mallian(Combined) (P)","BhodhiMallian",183050901,,,,312,194,506,,,
"",,"Chandarkey",183051101,,,,298,199,497,,,
"",,,Total,,,,610,393,1003,1,1,2
213,"213-Govt. Girls P/S Aidhipur(Combined) (P)","Chanekye",183050902,,,,106,67,173,,,
"",,Aidhipur,183050903,,,,293,225,518,,,
"",,Talwarah,183050904,,,,184,129,313,,,
"",,,Total,,,,583,421,1004,1,1,2
214,"214-Govt. Boys H/S Khokhar wali(Combined) (P)","PohlaMaharan",183051002,,,,126,94,220,,,
"",,"KhokharWali",183051003,,,,401,305,706,,,
"",,,Total,,,,527,399,926,1,1,2
215,"215-Govt. Girls P/S Gullah Mohara.(Combined) (P)","GullahMohara",183051004,,,,769,592,1361,,,
"",,"GullahMohara",183051005,,,,153,108,261,,,
"",,,Total,,,,922,700,1622,2,1,3
216,"216-Govt.  Islamia H/S ChanderkeyMangoley (Combined) (P)",Mangola,183051102,,,,379,341,720,,,
"",,Akalgarh,183051103,,,,78,28,106,,,
"",,"NangalShahu",183051104,,,,278,222,500,,,
"",,,Total,,,,735,591,1326,2,1,3
217,"217-Govt. Boys CD Islamia H/STalwandi Bhindran (Male)  (P)","TalwandiBhindran-I",183051201,,,,1073,,1073,,,
"",,"TalwandiBhindran-II",183051202,,,,259,,259,,,
"",,,Total,,,,1332,,1332,3,,3
"",,"TalwandiBhindran-II",183051202,,,,,185,185,,,
"",,,Total,,,,,1028,1028,,2,2
219,"219-Govt. Girls H/S TalwandiBhindran(Male)  (P)","TalwandiBhindran",183051203,,,,479,,479,,,
"",,"TalwandiBhindran",183051204,,,,351,,351,,,
"",,"TalwandiBhindran",183051206,,,,292,,292,,,
"",,"TalwandiBhindran",183051207,,,,305,,305,,,
"",,,Total,,,,1427,,1427,4,,4
220,"220-Govt. Girls H/S TalwandiBhindran(Female)  (P)","TalwandiBhindran",183051203,,,,,388,388,,,
"",,"TalwandiBhindran",183051204,,,,,279,279,,,
"",,"TalwandiBhindran",183051206,,,,,219,219,,,
"",,"TalwandiBhindran",183051207,,,,,220,220,,,
"",,,Total,,,,,1106,1106,,3,3
221,"221-Govt. Boys CD Islamia High SchoolTalwandi Bhindran(Combined)","TalwandiBhindran",183051205,,,,756,611,1367,,,
"",,,,,,,,,,,,
"",,,Total,,,,756,611,1367,2,1,3
"",,"SheikhuPura",183051211,,,,168,111,279,,,
"",,,Total,,,,791,463,1254,2,1,3
223,"223-Govt. Girls P/S Adokey Kalan(Combined) (P)","AdokeyKalan",183051209,,,,435,280,715,,,
"",,"CharhKey",183051210,,,,383,262,645,,,
"",,"ChakCharhKey B.C.",183051212,,,,0,0,0,,,
"",,,Total,,,,818,542,1360,2,1,3
224,"224-Govt. Higher S/S Hallowal (Male)(P)","Hallowal-I",183051301,,,,574,,574,,,
"",,"Hallowal-II",183051302,,,,853,,853,,,
"",,"Hallowal-III",183051303,,,,482,,482,,,
"",,,Total,,,,1909,,1909,4,,4
225,"225-Govt. Girls H/S Hallowal(Female)(P)","Hallowal-I",183051301,,,,,407,407,,,
"",,"Hallowal-II",183051302,,,,,583,583,,,
"",,"Hallowal-III",183051303,,,,,326,326,,,
"",,,Total,,,,,1316,1316,,2,2
226,"226-Govt. Girls P/S Gopalpur(Combined) (P)",Gopalpur,183051304,,,,598,433,1031,,,
"",,,Total,,,,598,433,1031,1,1,2
227,"227-Govt. H/S Dharag Miana(Combined) (P)",Tatla,183051401,,,,255,160,415,,,
"",,"Meerakpur",183051405,,,,515,419,934,,,
"",,"KotlyMammola",183051406,,,,374,318,692,,,
"",,,Total,,,,1144,897,2041,2,2,4
228,"228-Govt. Girls H/S Budhah Dhola(Male) (P)","BhagoJhoorhi",183051402,,,,215,,215,,,
"",,Laddarh,183051403,,,,213,,213,,,
"",,"BudhahDolah",183051404,,,,807,,807,,,
"",,,Total,,,,1235,,1235,3,,3
229,"229-Govt. Girls H/S Budhah Dhola(Female) (P)","BhagoJhoorhi",183051402,,,,,148,148,,,
"",,Laddarh,183051403,,,,,125,125,,,
"",,"BudhahDolah",183051404,,,,,565,565,,,
230,230-Govt. H/S Bathanwala(Male)  (P),"Bathanwala-II",183060102,,,,456,371,827,,,
"",,"Kot ShahB.C",183060106,,,,9,6,15,,,
"",,Gill B.C,183060107,,,,0,,0,,,
"",,Farozkey,183061403,,,,86,46,132,,,
"",,,Total,,,,551,423,974,1,1,2
231,231-Govt. H/S Bathanwala (Female)  (P),"Bathanwala-I",183060101,,,,548,335,883,,,
"",,,,,,,,,,,,
"",,,Total,,,,548,335,883,1,1,2
232,"232-Govt. Girls H/S Bathanwala (male)(P)","Bathanwala-III",183060103,,,,532,,532,,,
"",,"Bathanwala-III",183060104,,,,425,,425,,,
"",,"QilaRajahSing",183060105,,,,317,,317,,,
"",,,Total,,,,1274,,1274,3,,3
233,"233-Govt. Girls H/S Bathanwala(Female)  (P)","Bathanwala-III",183060103,,,,,395,395,,,
"",,"Bathanwala-III",183060104,,,,,311,,,,
"",,"QilaRajahSing",183060105,,,,,219,219,,,
"",,,Total,,,,,925,925,,2,2
234,"234-Govt. Girls ElementarySchoolNarang Chaina (Combined) (P)New Black","NarangChaina",183060201,,,,755,510,1265,,,
"",,,,,,,,,,,,
"",,,Total,,,,755,510,1265,2,1,3
235,"235-Govt. P/S Narang Chaina(Combined) (P)",Tharpal,183060202,,,,547,467,1014,,,
"",,"KallasKotly",183060305,,,,149,112,261,,,
"",,,Total,,,,696,579,1275,2,1,3
236,"236-Govt. Boys P/S Chaudhry Chaina.(Combined) (P)","ChaudhryChaina",183060301,,,,259,189,448,,,
"",,"Sahoowal",183060302,,,,371,281,652,,,
"",,"KangBelayWala",183060303,,,,184,138,322,,,
"",,,Total,,,,1098,813,1911,2,2,4
237,"237-Govt. Girls E/S Bhahnian(Combined) (P)","BadhaiCheemaB.C",183060401,,,,4,1,5,,,
"",,"ShahpurB.C",183060402,,,,2,2,4,,,
"",,"BhahnianI",183060501,,,,334,233,567,,,
"",,"BhahnianII",183060502,,,,400,315,715,,,
"",,"SaraiyB.C",183060503,,,,0,0,0,,,
"",,"AraziGaziwalB.C",183060504,,,,0,0,0,,,
"",,"MaidiDogarB.C",183060505,,,,1,0,1,,,
"",,,Total,,,,741,551,1292,2,1,3
238,"238-Govt. Girls H/S Dairianwala-(Male)(P)","Dairianwala-I",183060601,,,,481,,481,,,
"",,"Dairianwala-III",183060603,,,,509,,509,,,
"",,"Dairianwala-IV",183060604,,,,210,,210,,,
"",,,Total,,,,1200,,1200,3,,3
239,"239-Govt. Girls H/S Dairianwala(Female)  (P)","Dairianwala-I",183060601,,,,,422,422,,,
"",,"Dairianwala-III",183060603,,,,,435,435,,,
"",,"Dairianwala-IV",183060604,,,,,164,164,,,
"",,,Total,,,,,1021,1021,,2,2
240,"240-Govt. Girls H/S Dairianwala(Combined)  (P)","Dairianwala-II",183060602,,,,328,236,564,,,
"",,"Dairianwala-II",183060605,,,,415,325,740,,,
"",,Sandrana,183060609,,,,166,108,274,,,
"",,,Total,,,,909,669,1578,2,2,4
241,"241-Govt. Girls P/S Hajiwala(Combined) (P)",Hajiwala,183060606,,,,531,428,959,,,
"",,"SalairManddi",183060608,,,,265,214,479,,,
"",,,Total,,,,796,642,1438,2,1,3
"",,"JevanBhinder",183060702,,,,69,49,118,,,
"",,"Gharoowal",183060703,,,,404,257,661,,,
"",,,Total,,,,1051,785,1836,2,2,4
243,"243-Govt. Boys E/S Kullah Manddiala(Combined) (P)","KullahManddiala",183060704,,,,722,540,1262,,,
"",,Laleywali,183060705,,,,317,256,573,,,
"",,,Total,,,,1039,796,1835,2,2,4
244,"244-Govt.Boys P/S Mahais Kalan(Combined) (P)","MahaisKalan",183060801,,,,422,233,655,,,
"",,Mahais -II,183060803,,,,618,418,1036,,,
"",,,Total,,,,1040,651,1691,2,1,3
245,"245-Govt. Girls P/S Mahais Bibeywali(Combined) (P)",Mahais -I,183060802,,,,276,188,464,,,
"",,Sangrai,183060807,,,,43,28,71,,,
"",,,Total,,,,319,216,535,1,1,2
246,"246-Govt.Girls P/S Adukey Khurd(Combined) (P)","Sharifpura",183060804,,,,102,78,180,,,
"",,"AdukeyKhurd",183060805,,,,444,338,782,,,
"",,Mujahid,183060806,,,,377,309,686,,,
"",,,Total,,,,923,725,1648,2,1,3
247,"247-Govt. Girls P/S Briyar (Combined)(P)","KaniJafarabad",183060901,,,,610,370,980,,,
"",,Baryar,183060902,,,,420,293,713,,,
"",,,Total,,,,1030,663,1693,2,1,3
248,"248-Govt. Girls Primary SchoolMachana(Combined)","NangalMachana",183060904,,,,282,197,479,,,
"",,Machana,183060905,,,,273,269,542,,,
"",,Chakrhi,183060906,,,,80,46,126,,,
"",,,Total,,,,635,512,1147,1,1,2
249,"249-Govt. Girls P/S Kotli Nawanian(Combined) (P)","KotliNawanian",183060903,,,,455,348,803,,,
"",,"Bhengalah",183061101,,,,255,189,444,,,
"",,"KalasWali",183061103,,,,226,169,395,,,
"",,,Total,,,,936,706,1642,2,2,4
"",,"DhangWali",183061002,,,,12,8,20,,,
"",,"KotRaldo",183061003,,,,184,143,327,,,
"",,Agarian,183061004,,,,292,215,507,,,
"",,"RakhJevanGorayya",183061005,,,,100,75,175,,,
"",,Ali pur,183061006,,,,47,24,71,,,
"",,,Total,,,,836,601,1437,2,1,3
251,"251-Govt. Girls P/S Bheelowali(Combined) (P)","KotliNathoMalhi",183061007,,,,372,251,623,,,
"",,"Bheelowali",183061201,,,,647,416,1063,,,
"",,,Total,,,,1019,667,1686,2,1,3
252,252-B.H.U.Giddian (Combined) (P),Giddian,183061102,,,,661,498,1159,,,
"",,,,,,,,,,,,
"",,,Total,,,,661,498,1159,1,1,2
253,"253-Govt. Girls P/S Thilli Malhian(Combined) (P)",Nagrey,183061202,,,,243,168,411,,,
"",,"ThilliMalhian",183061203,,,,188,136,324,,,
"",,"Shammsa",183061204,,,,341,221,562,,,
"",,,Total,,,,772,525,1297,2,1,3
254,254-Govt. H/SS Rayya (Combined) (P),Rayya,183061301,,,,771,606,1377,,,
"",,Matey ke,183061303,,,,198,150,348,,,
"",,,Total,,,,969,756,1725,2,2,4
255,"255-Govt.Girls P/S Gagey Wali (Male)(P)",Fattokey,183061302,,,,481,,481,,,
"",,Khitta,183061304,,,,305,,305,,,
"",,"Gagewali",183061305,,,,541,,541,,,
"",,,Total,,,,1327,,1327,3,,3
256,"256-Govt.Girls P/S Gagey Wali (Female)(P)",Fattokey,183061302,,,,,375,375,,,
"",,Khitta,183061304,,,,,239,239,,,
"",,"Gagewali",183061305,,,,,407,407,,,
"",,,Total,,,,,1021,1021,,2,2
257,"257-Govt. Girls P/S Dai Wala Malahan(Combined) (P)","Dai WalaMalahan",183061401,,,,516,360,876,,,
"",,Khilchian,183061402,,,,255,192,447,,,
"",,"DogarSomdhiaB.C",183061404,,,,5,7,12,,,
"",,"DaiwalaRajputan",183061405,,,,105,63,168,,,
"",,,Total,,,,881,622,1503,2,1,3
258,"258-Govt. Boys H/S Building No.1Ahmad Abad(Male) (P)",,,"Rural Health Center,TC. Ahmad Abad",1.83E+08,,333,,333,,,
"",,,,"Unit Office AhmadAbad TC",1.83E+08,,372,,372,,,
"",,,,"Muhallah GousiaNagarh, TC, AhmadAbad",1.83E+08,,449,,449,,,
"",,,,Total:-,,,1154,,1154,3,0,3
259,"259-Govt. Boys H/S Building No.1Ahmad abad(Female) (P)",,,"Rural Health Center,TC. Ahmad Abad",1.83E+08,,,300,300,,,
"",,,,"Unit Office AhmadAbad TC",1.83E+08,,,312,312,,,
"",,,,"Muhallah GousiaNagarh, TC, AhmadAbad",1.83E+08,,,353,353,,,
"",,,,Total:-,,,,965,965,,2,2
260,"260-Govt. Boys H/S Building No.1Ahmad Abad(Combined) (P)",,,"Rail Bazar, TC, AhmadAbad",1.83E+08,,340,271,611,,,
"",,,,"Muhallah Billo, TC,Ahmad Abad",1.83E+08,,675,564,1239,,,
"",,,,Total:-,,,1015,835,1850,2,2,4
261,"261-Govt. Girls Higher Secendry SchoolAhmad Abad (Combined)",,,"Chungi Jammu Gate,TC, Ahmad Abad",1.83E+08,,472,395,867,,,
"",,,,"Muhallah Shaikhan, TC,Ahmad Abad",1.83E+08,,498,433,931,,,
"",,,,Total:-,,,970,828,1798,2,2,4
262,"262-Govt. Boys P/S No. 2 AhmadAbad(Combined) (P)",,,"Muhallah Imam Bargah, TC, Ahmad Abad",1.83E+08,,612,588,1200,,,
"",,,,Total:-,,,612,588,1200,1,1,2
263,"263-Govt. Girls Higher SecendrySchool,Ahmadabad(Combined)",,,"Muhallah Pasrori Gate,TC. Ahmad Abad",1.83E+08,,611,523,1134,,,
"",,,,Total:-,,,611,523,1134,1,1,2
264,"264-Govt. Girls High School AhmadAbad(Combined) (P)",,,"Circular RoadWaterworkas, TC,Ahmad abad",1.83E+08,,421,355,776,,,
"",,,,"Muhallah Kashmirian,TC, Ahmad Abad",1.83E+08,,469,397,866,,,
"",,,,Total:-,,,890,752,1642,2,2,4
""
""
"",,"JarmaniaMalaSingha",184050102,,,,42,22,64,,,
"",,"Jarmanian Chanda",184050103,,,,71,41,112,,,
"",,"JarmaniaSangha",184050104,,,,37,39,76,,,
"",,"Kalla,B.C",184050105,,,,48,20,68,,,
"",,"ManaKhera",184050205,,,,28,18,46,,,
"",,"KhasaWadala,B.C",184050301,,,,0,0,0,,,
"",,"ChaniTikka.BC",184050302,,,,0,0,0,,,
"",,"Takhatpur,B.C",184050303,,,,5,3,8,,,
"",,"ChaniGujran.BC",184050304,,,,6,1,7,,,
"",,"KanaKounta,B.C",184050501,,,,0,0,0,,,
"",,"Bajlowal,B.C",184050502,,,,0,0,0,,,
"",,"Korotana,B.C",184050503,,,,0,0,0,,,
"",,"Barowal,B.C",184050504,,,,0,0,0,,,
"",,"KhanpurAfgana.B.C",184050505,,,,1,0,1,,,
"",,"DeraNoormalik",184050506,,,,247,193,440,,,
"",,"Basuokot,B.C",184051601,,,,147,92,239,,,
"",,"Dhandwal,B.C",184051602,,,,0,0,0,,,
"",,"RamBetri,B.C",184051603,,,,0,0,0,,,
"",,"Bhabra,B.C",184051304,,,,1,0,1,,,
266,266-G P/S Walipur Bora (Combined)(P),Dhingar,184050201,,,,81,44,125,,,
"",,"WalipurBora",184050202,,,,360,234,594,,,
"",,"WalipurBora",184050203,,,,247,156,403,,,
"",,,Total:-,,,,688,434,1122,1,1,2
267,"267-Govt.Girls  P/S Kalo Khera.(Combined)(P)","KaloKhera",184050204,,,,311,170,481,,,
"",,"Sadkhera",184050206,,,,88,39,127,,,
"",,,Total:-,,,,399,209,608,1,1,2
268,"268-Govt. Girls P/S Kallah(Combined)(P)",Kallah,184050401,,,,1043,780,1823,,,
"",,Kallah,184050402,,,,56,27,83,,,
"",,,Total:-,,,,1099,807,1906,2,2,4
269,269-Girls M/S Mir Pur (Combined)(P),"Saadullah Pur",184050403,,,,154,118,272,,,
"",,Mir Pur,184050406,,,,470,331,801,,,
"",,,Total:-,,,,624,449,1073,1,1,2
270,"270-Goivt. Boys Primary SchoolSaraj(Combined)",Saraj,184050405,,,,433,382,815,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,433,382,815,1,1,2
271,271-Boys P/S Bhangala (Combined)(P),Bhangala,184050404,,,,545,409,954,,,
"",,"Thekerian",184050408,,,,350,270,620,,,
"",,,Total:-,,,,895,679,1574,2,2,4
272,272-Girls P/S Nathukot (Combined) (P),"Kalachechi",184050407,,,,377,257,634,,,
"",,Nathukot,184050809,,,,349,283,632,,,
"",,Katarian,184050810,,,,267,234,501,,,
"",,,Total:-,,,,993,774,1767,2,2,4
273,"273-Govt.Boys E/S Maingri. (Combined)(P)",Noor Kot,184050601,,,,174,150,324,,,
"",,"Mansoora",184050604,,,,609,546,1155,,,
"",,,Total:-,,,,783,696,1479,2,2,4
274,"274-Govt. Boys Higher SecondarySchool Maingri(Male)",Noor Kot,184050602,,,,895,,895,,,
"",,Noor Kot,184050603,,,,609,,609,,,
